Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2167.70411054404
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,59.9
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.565
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14407.3656909018
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.4
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.282
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12118.0045004936
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.5
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.474
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Andorra,AND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3
Andorra,AND,"Population, total",SP.POP.TOTL,76343
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6881.07624117546
Angola,AGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,75
Angola,AGO,"Population, total",SP.POP.TOTL,32353588
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.448
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24007.8684845165
Antigua and Barbuda,ATG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.6
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.691
